Id_Inventaris	Permendagri_90	Nama_Barang_Permendagri_90	No_Kode_Barang	Nama_Sesuai Kode	Nama_Simbada / Deskripsi_Barang	No_Kode_Register	Luas_Tanah	Thn_Pengadaan	Letak	Hak_Tanah	Tgl_Sertifikat	No_Sertifikat	Penggunaan	Asal_Usul	Harga_Barang	Keterangan	Kode_SKPD	Nama_SKPD	Kode_Lokasi	Nama_Lokasi
7832596	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah SD N Mlliran	00008	1340	2000	Kel. Muja Muju	Hak Pakai	0000-00-00	P.23/Mjm	SD N Mlliran	Lain-Lain	621760000	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8301296	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.02	Tanah Bangunan Pendidikan dan  Latihan (Sekolah)	Tanah Untuk Pendidikan dan Pelatihan	00016	854	1953	Jl Kapas I/3C	Hak Pakai	2000-08-21	BAST No. 061/2080	KONI Kota Yogyakarta	Lain-lain	15000000	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8535624	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.03	Tanah Bangunan Rumah Sakit	Tanah Bangunan Rumah Sakit	00001	825	2016	Jl. Wirosaban 1 Yogyakarta	Hak Pakai	0000-00-00	-	RSUD (RS JOGJA)	Pembelian	2586874450	Proses balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772149	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.09	Tanah Bangunan Taman/Wisata/Rekreasi	Tanahuntuk Taman Pintar 2	00001	290	2018	Wilayah Kel Giwangan Kec UH Yk	Hak Pakai	2018-00-00	-	Taman Pintar 2	Pembelian	404358427	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772148	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.09	Tanah Bangunan Taman/Wisata/Rekreasi	Tanahuntuk Taman Pintar 2	00001	336	2018	Wilayah Kel Giwangan Kec UH Yk	Hak Pakai	2018-00-00	-	Taman Pintar 2	Pembelian	467949165	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772126	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.12	Tanah Bangunan Puskesmas/Posyandu	Tanah untuk Pengembangan Puskesmas kraton	00001	1352	2018	Jln. Langenastran Kidul, Kel Panembahan Kec.kraton YK	Hak Pakai	2018-00-00	-	Puskesmas kraton	Pembelian	9887820818	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8772125	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.12	Tanah Bangunan Puskesmas/Posyandu	Tanah untuk Pengembangan Puskesmas DN1	00001	1141	2018	Bausasran DN3/658 RT 031 RW 009 Kel. Bausasran Kec DN, Yk	Hak Pakai	2018-00-00	-	Puskesmas DN1	Pembelian	4258789253	Proses  balik nama	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8802643	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	RTHP Kelurahan Giwangan	00001	500	2019	Wilayah RW 11 Mendungan Kel Giwangan Kec. Umbulharjo Kota Yogyakarta	Hak Pakai	2019-00-00	-	RTHP Kelurahan Giwangan	Pembelian	1465708591	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8802642	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	RTHP Kelurahan Prenggan	00001	399	2019	RT 018 Rw 004 Tinalan Kel. Prenggan Kec. Kotagede Kota Yogyakarta	Hak Pakai	2019-00-00	-	RTHP Kelurahan Prenggan	Pembelian	1192585574	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
8802641	1.3.01.01.01.004	Tanah untuk Bangunan Tempat Kerja	01.01.11.04.26	Lain-lain (Tanah Untuk Bangunan Tempat Kerja/Jasa)	RTHP Kelurahan Keparakan	00001	1926	2019	Wilayah Rw 13 Kel Keparakan Kec. Mergangsan Kota Yogyakarta	Hak Pakai	2019-00-00	-	RTHP Kelurahan Keparakan	Pembelian	3879273160	-	12.00.34.71.020401.	DINAS PERTANAHAN DAN TATA RUANG	12.00.34.71.020401.00001.	DINAS PERTANAHAN DAN TATA RUANG
